cohort,repo,file,time_days,event_observed
ml,mycroft-precise,precise/annoyance_estimator.py,0,1
ml,mycroft-precise,precise/scripts/train_optimize.py,657,1
ml,mycroft-precise,precise/scripts/train.py,895,1
ml,mycroft-precise,precise/scripts/train_generated.py,392,1
ml,mycroft-precise,precise/model.py,784,1
ml,mycroft-precise,precise/functions.py,784,1
ml,mycroft-precise,precise/network_runner.py,791,1
ml,mycroft-precise,precise/params.py,895,1
ml,mycroft-precise,precise/pocketsphinx/listener.py,784,1
ml,mycroft-precise,precise/stats.py,393,1
ml,mycroft-precise,precise/threshold_decoder.py,373,1
ml,mycroft-precise,precise/train_data.py,791,1
ml,mycroft-precise,precise/util.py,784,1
ml,mycroft-precise,precise/vectorization.py,784,1
ml,mycroft-precise,precise/pocketsphinx/scripts/listen.py,784,1
ml,mycroft-precise,precise/pocketsphinx/scripts/test.py,784,1
ml,mycroft-precise,precise/scripts/add_noise.py,589,1
ml,mycroft-precise,precise/scripts/calc_threshold.py,373,1
ml,mycroft-precise,precise/scripts/collect.py,782,1
ml,mycroft-precise,precise/scripts/convert.py,895,1
ml,mycroft-precise,precise/scripts/engine.py,895,1
ml,mycroft-precise,precise/scripts/eval.py,784,1
ml,mycroft-precise,precise/scripts/graph.py,393,1
ml,mycroft-precise,precise/scripts/listen.py,895,1
ml,mycroft-precise,precise/scripts/simulate.py,643,1
ml,mycroft-precise,precise/scripts/test.py,895,1
ml,mycroft-precise,precise/scripts/train_incremental.py,791,1
ml,mycroft-precise,precise/scripts/train_sampled.py,644,1
ml,mycroft-precise,test/scripts/dummy_audio_folder.py,159,1
ml,mycroft-precise,test/scripts/test_combined.py,159,1
ml,mycroft-precise,test/scripts/test_engine.py,159,1
ml,mycroft-precise,test/scripts/test_train.py,0,1
ml,mycroft-precise,test/__init__.py,157,1
ml,mycroft-precise,test/scripts/__init__.py,157,1
ml,mycroft-precise,setup.py,117,1
ml,mycroft-precise,test/scripts/conftest.py,0,1
ml,mycroft-precise,test/scripts/test_add_noise.py,0,1
