cohort,repo,file,time_days,event_observed
nonml,pigar,pigar/version.py,3693,0
nonml,pigar,pigar/dist.py,0,1
nonml,pigar,pigar/parser.py,2822,1
nonml,pigar,pigar/tests/test_cli.py,1072,0
nonml,pigar,pigar/_vendor/distlib/__init__.py,978,1
nonml,pigar,pigar/_vendor/distlib/compat.py,978,1
nonml,pigar,pigar/_vendor/distlib/database.py,978,0
nonml,pigar,pigar/_vendor/distlib/locators.py,978,1
nonml,pigar,pigar/_vendor/distlib/markers.py,978,0
nonml,pigar,pigar/_vendor/distlib/metadata.py,978,1
nonml,pigar,pigar/_vendor/distlib/resources.py,978,1
nonml,pigar,pigar/_vendor/distlib/util.py,978,1
nonml,pigar,pigar/_vendor/distlib/version.py,978,0
nonml,pigar,pigar/_vendor/distlib/wheel.py,978,0
nonml,pigar,pigar/_vendor/pip/__init__.py,0,1
nonml,pigar,pigar/_vendor/pip/__pip-runner__.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/__init__.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/build_env.py,1072,1
nonml,pigar,pigar/_vendor/pip/_internal/cache.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/cli/__init__.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/cli/autocompletion.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/cli/base_command.py,1072,1
nonml,pigar,pigar/_vendor/pip/_internal/cli/cmdoptions.py,1072,1
nonml,pigar,pigar/_vendor/pip/_internal/cli/command_context.py,1072,0
nonml,pigar,pigar/_vendor/pip/_internal/cli/index_command.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/cli/main.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/cli/main_parser.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/cli/parser.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/cli/progress_bars.py,1072,1
nonml,pigar,pigar/_vendor/pip/_internal/cli/req_command.py,1072,1
nonml,pigar,pigar/_vendor/pip/_internal/cli/spinners.py,1072,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/__init__.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/cache.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/check.py,1072,0
nonml,pigar,pigar/_vendor/pip/_internal/commands/completion.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/configuration.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/debug.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/download.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/freeze.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/hash.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/help.py,1072,0
nonml,pigar,pigar/_vendor/pip/_internal/commands/index.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/inspect.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/install.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/list.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/lock.py,1072,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/search.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/show.py,579,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/uninstall.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/commands/wheel.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/configuration.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/distributions/base.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/distributions/installed.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/distributions/sdist.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/distributions/wheel.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/exceptions.py,1072,1
nonml,pigar,pigar/_vendor/pip/_internal/index/__init__.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/index/collector.py,579,1
nonml,pigar,pigar/_vendor/pip/_internal/index/package_finder.py,1072,1
nonml,pigar,pigar/_vendor/pip/_internal/index/sources.py,441,1
nonml,pigar,pigar/_vendor/pip/_internal/locations/__init__.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/locations/_distutils.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/locations/_sysconfig.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/locations/base.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/main.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/metadata/__init__.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/metadata/_json.py,1072,0
nonml,pigar,pigar/_vendor/pip/_internal/metadata/base.py,441,1
nonml,pigar,pigar/_vendor/pip/_internal/metadata/importlib/_compat.py,1072,1
nonml,pigar,pigar/_vendor/pip/_internal/metadata/importlib/_dists.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/metadata/importlib/_envs.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/metadata/pkg_resources.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/models/__init__.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/models/direct_url.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/models/format_control.py,1072,0
nonml,pigar,pigar/_vendor/pip/_internal/models/installation_report.py,1072,0
nonml,pigar,pigar/_vendor/pip/_internal/models/link.py,1072,1
nonml,pigar,pigar/_vendor/pip/_internal/models/pylock.py,0,0
nonml,pigar,pigar/_vendor/pip/_internal/models/search_scope.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/models/selection_prefs.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/models/target_python.py,441,1
nonml,pigar,pigar/_vendor/pip/_internal/models/wheel.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/network/__init__.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/network/auth.py,93,1
nonml,pigar,pigar/_vendor/pip/_internal/network/cache.py,0,1
nonml,pigar,pigar/_vendor/pip/_internal/network/download.py,1072,1
