cohort,repo,file,time_days,event_observed
ml,mycroft-precise,precise/annoyance_estimator.py,96,0
ml,mycroft-precise,precise/scripts/train_optimize.py,96,0
ml,mycroft-precise,precise/scripts/train.py,110,0
ml,mycroft-precise,precise/scripts/train_generated.py,110,0
ml,mycroft-precise,precise/model.py,110,0
ml,mycroft-precise,precise/functions.py,110,0
ml,mycroft-precise,precise/network_runner.py,110,0
ml,mycroft-precise,precise/params.py,110,0
ml,mycroft-precise,precise/pocketsphinx/listener.py,110,0
ml,mycroft-precise,precise/stats.py,110,0
ml,mycroft-precise,precise/threshold_decoder.py,110,0
ml,mycroft-precise,precise/train_data.py,110,0
ml,mycroft-precise,precise/util.py,110,0
ml,mycroft-precise,precise/vectorization.py,110,0
ml,mycroft-precise,precise/pocketsphinx/scripts/listen.py,110,0
ml,mycroft-precise,precise/pocketsphinx/scripts/test.py,110,0
ml,mycroft-precise,precise/scripts/add_noise.py,0,1
ml,mycroft-precise,precise/scripts/calc_threshold.py,110,0
ml,mycroft-precise,precise/scripts/collect.py,110,0
ml,mycroft-precise,precise/scripts/convert.py,110,0
ml,mycroft-precise,precise/scripts/engine.py,110,0
ml,mycroft-precise,precise/scripts/eval.py,110,0
ml,mycroft-precise,precise/scripts/graph.py,110,0
ml,mycroft-precise,precise/scripts/listen.py,110,0
ml,mycroft-precise,precise/scripts/simulate.py,110,0
ml,mycroft-precise,precise/scripts/test.py,110,0
ml,mycroft-precise,precise/scripts/train_incremental.py,110,0
ml,mycroft-precise,precise/scripts/train_sampled.py,110,0
ml,mycroft-precise,test/scripts/dummy_audio_folder.py,117,0
ml,mycroft-precise,test/scripts/test_combined.py,117,0
ml,mycroft-precise,test/scripts/test_engine.py,117,0
ml,mycroft-precise,test/scripts/test_train.py,277,0
ml,mycroft-precise,test/__init__.py,120,0
ml,mycroft-precise,test/scripts/__init__.py,120,0
ml,mycroft-precise,setup.py,887,0
ml,mycroft-precise,test/scripts/conftest.py,277,0
ml,mycroft-precise,test/scripts/test_add_noise.py,277,0
ml,mycroft-precise,test/scripts/test_convert.py,277,0
ml,mycroft-precise,runner/precise_runner/runner.py,449,0
ml,mycroft-precise,precise/scripts/variable_tagger.py,724,0
ml,mycroft-precise,runner/example.py,887,0
ml,mycroft-precise,runner/setup.py,887,0
ml,mycroft-precise,precise/trainer.py,755,0
ml,mycroft-precise,precise/scripts/record.py,887,0
ml,mycroft-precise,precise/pocketsphinx/scripts/record.py,887,0
ml,mycroft-precise,precise/common.py,901,0
ml,mycroft-precise,precise/scripts/test_pocketsphinx.py,895,0
ml,mycroft-precise,precise/record.py,901,0
ml,mycroft-precise,precise/test.py,901,0
ml,mycroft-precise,precise/train.py,901,0
ml,mycroft-precise,precise/train_incremental.py,901,0
ml,mycroft-precise,precise/convert.py,901,0
ml,mycroft-precise,precise/stream.py,901,0
ml,face-liveness-detection,training.py,606,0
ml,road_simulator,roadsimulator/layers/layers.py,1,0
ml,road_simulator,roadsimulator/layers/noise.py,0,0
ml,road_simulator,roadsimulator/layers/utils.py,0,0
ml,road_simulator,examples/example_dim.py,270,0
ml,road_simulator,src/layers/layers.py,274,0
ml,road_simulator,src/layers/noise.py,277,0
ml,road_simulator,src/simulator.py,276,0
ml,road_simulator,example/example.py,279,0
ml,road_simulator,example/example_dashed.py,275,0
ml,road_simulator,src/colors.py,277,0
ml,road_simulator,src/basic_objects.py,277,0
ml,road_simulator,my_simulator_hangar.py,279,0
ml,road_simulator,layers.py,279,0
ml,pycolab,pycolab/examples/research/box_world/box_world.py,0,0
ml,pycolab,pycolab/engine.py,549,0
ml,pycolab,pycolab/tests/ascii_art_test.py,570,0
ml,pycolab,pycolab/tests/story_test.py,318,0
ml,pycolab,setup.py,654,0
ml,pycolab,pycolab/examples/ordeal.py,318,0
ml,pycolab,pycolab/plot.py,318,0
ml,pycolab,pycolab/storytelling.py,318,0
ml,pycolab,pycolab/tests/engine_test.py,386,0
ml,pycolab,pycolab/rendering.py,386,0
ml,pycolab,pycolab/examples/research/lp-rnn/cued_catch.py,483,0
ml,pycolab,pycolab/examples/research/lp-rnn/sequence_recall.py,483,0
ml,pycolab,pycolab/examples/research/lp-rnn/t_maze.py,483,0
ml,pycolab,pycolab/cropping.py,549,0
ml,pycolab,pycolab/examples/better_scrolly_maze.py,549,0
ml,pycolab,pycolab/examples/tennnnnnnnnnnnnnnnnnnnnnnnis.py,549,0
ml,pycolab,pycolab/tests/cropping_test.py,549,0
ml,pycolab,__init__.py,660,0
ml,pycolab,ascii_art.py,660,0
ml,pycolab,engine.py,660,0
ml,pycolab,examples/__init__.py,660,0
ml,pycolab,examples/aperture.py,660,0
ml,pycolab,examples/apprehend.py,660,0
ml,pycolab,examples/classics/__init__.py,660,0
ml,pycolab,examples/classics/chain_walk.py,660,0
ml,pycolab,examples/classics/cliff_walk.py,660,0
ml,pycolab,examples/classics/four_rooms.py,660,0
ml,pycolab,examples/extraterrestrial_marauders.py,660,0
ml,pycolab,examples/fluvial_natation.py,660,0
ml,pycolab,examples/hello_world.py,660,0
ml,pycolab,examples/scrolly_maze.py,660,0
ml,pycolab,examples/shockwave.py,660,0
ml,pycolab,examples/warehouse_manager.py,660,0
ml,pycolab,human_ui.py,660,0
ml,pycolab,plot.py,660,0
ml,pycolab,prefab_parts/__init__.py,660,0
ml,pycolab,prefab_parts/drapes.py,660,0
ml,pycolab,prefab_parts/sprites.py,660,0
ml,pycolab,protocols/__init__.py,660,0
ml,pycolab,protocols/logging.py,660,0
ml,pycolab,protocols/scrolling.py,660,0
ml,pycolab,rendering.py,660,0
ml,pycolab,tests/__init__.py,660,0
ml,pycolab,tests/engine_test.py,660,0
ml,pycolab,tests/maze_walker_test.py,660,0
ml,pycolab,tests/scrolling_test.py,660,0
ml,pycolab,tests/test_things.py,660,0
ml,pycolab,things.py,660,0
ml,deepdrive-universe,drivers/deepdrive_tf/layers.py,25,0
ml,deepdrive-universe,drivers/deepdrive_tf/deep_driver_tf.py,25,0
ml,deepdrive-universe,drivers/deepdrive_tf/train/layers.py,6,0
ml,rainbow,memory.py,1507,0
ml,rainbow,agent.py,1529,0
ml,rainbow,test.py,0,1
ml,rainbow,env.py,1478,0
ml,deeppavlov,tests/test_quick_start.py,2455,0
ml,deeppavlov,deeppavlov/core/data/utils.py,2506,0
ml,deeppavlov,setup.py,2302,0
ml,deeppavlov,deeppavlov/core/commands/train.py,2277,0
ml,deeppavlov,utils/prepare/optimize_ipynb.py,412,0
ml,deeppavlov,deeppavlov/models/preprocessors/torch_transformers_preprocessor.py,936,0
ml,deeppavlov,deeppavlov/models/kbqa/utils.py,1643,0
ml,deeppavlov,deeppavlov/metrics/accuracy.py,1825,0
ml,deeppavlov,deeppavlov/metrics/fmeasure.py,468,0
ml,deeppavlov,deeppavlov/metrics/log_loss.py,2240,0
ml,deeppavlov,deeppavlov/metrics/roc_auc_score.py,2302,0
ml,deeppavlov,deeppavlov/utils/benchmarks/benchmarks.py,511,0
ml,deeppavlov,deeppavlov/utils/benchmarks/superglue.py,865,0
ml,deeppavlov,deeppavlov/models/classifiers/dnnc_proba2labels.py,514,0
ml,deeppavlov,deeppavlov/models/preprocessors/dnnc_preprocessor.py,514,0
ml,deeppavlov,deeppavlov/core/models/lr_scheduled_model.py,2075,0
ml,deeppavlov,deeppavlov/core/models/torch_model.py,1571,0
ml,deeppavlov,deeppavlov/models/classifiers/torch_classification_model.py,1571,0
ml,deeppavlov,deeppavlov/models/relation_extraction/relation_extraction_bert.py,1182,0
ml,deeppavlov,deeppavlov/models/torch_bert/multitask_transformer.py,622,0
ml,deeppavlov,deeppavlov/models/torch_bert/torch_bert_ranker.py,1571,0
ml,deeppavlov,deeppavlov/models/torch_bert/torch_transformers_el_ranker.py,936,0
ml,deeppavlov,deeppavlov/models/torch_bert/torch_transformers_multiplechoice.py,1215,0
ml,deeppavlov,deeppavlov/models/torch_bert/torch_transformers_nll_ranking.py,562,0
ml,deeppavlov,deeppavlov/models/torch_bert/torch_transformers_squad.py,529,0
ml,deeppavlov,deeppavlov/models/torch_bert/torch_transformers_syntax_parser.py,526,0
ml,deeppavlov,deeppavlov/dataset_iterators/morphotagger_iterator.py,526,0
ml,deeppavlov,deeppavlov/dataset_readers/morphotagging_dataset_reader.py,526,0
ml,deeppavlov,deeppavlov/models/morpho_syntax_parser/dependency_decoding.py,526,0
ml,deeppavlov,deeppavlov/models/morpho_syntax_parser/joint.py,526,0
